,text,start,duration
209,"drive anyone who's still awake
and energetic to a nearby IHOP",702.59,3.75
210,"for pancakes, around then.",706.34,1.8
211,"But here is how most of the evenings
tend to end for at least some",708.14,3.57
212,of your classmates prior.,711.71,1.29
213,"But at the very end of the class
is the so-called CS50 Fair,",713.0,2.67
214,"an exhibition of all of your final
projects for friends, faculty,",715.67,4.0
215,"students, and staff
across campus, whereby",719.67,1.94
216,you'll be invited to a space like this.,721.61,1.83
217,Bring your laptop.,723.44,0.78
218,"Bring your phone, whatever it
is you have built and created.",724.22,2.7
219,"And we'll just show it off
for a bit of the afternoon,",726.92,2.34
220,"complete with music, and
friends from industry,",729.26,2.61
221,"and candy, and all what makes
gathering together at term's end fond.",731.87,4.13
222,"And you'll wear,
ultimately, very proudly,",736.0,1.75
223,"we hope, your very own ""I took CS50,""
stating, very matter of factly,",737.75,4.02
224,"what I did some years ago; that, indeed,
this was a course I, myself, took.",741.77,4.02
225,"So, today, let's focus, then, on
computer science, like what is it.",745.79,3.33
226,"Well, it's really the
study of information.",749.12,2.67
227,"But, really, it's, more
specifically, about solving problems,",751.79,3.12
228,"using certain ideas and techniques, all
of which you'll exit the course with.",754.91,3.45
229,"So, as such, problem
solving is a goal that we'll",758.36,5.018
230,"approach by way of something
called ""computational thinking.""",763.378,2.542
231,"So computational thinking, you can
oversimplistically think about it",765.92,3.84
232,as thinking like a computer.,769.76,1.74
233,"But it's really the application of
ideas that we'll dive into today",771.5,3.91
234,"and we'll finish some
weeks from now, that you",775.41,1.97
235,"can apply to problems from this field or
most any other, but in a computational,",777.38,4.5
236,"that is, a very methodical,
very careful way.",781.88,2.89
237,"And that's what CS really did for
me and does for a lot of people.",784.77,2.75
238,"It helps clean up your
thought processes.",787.52,2.22
239,"Even if you go off into the real
world and do nothing in tech,",789.74,2.82
240,"you have an ability,
after classes like this,",792.56,2.28
241,"to express yourself a
little more correctly, more",794.84,3.18
242,"precisely and, generally,
having better command",798.02,2.64
243,of your own ideas and your language.,800.66,2.32
244,So what's problem solving?,802.98,1.43
245,Let me propose that this is it.,804.41,1.38
246,"This is as simple as we can make
today's goals and the semester's goals.",805.79,3.48
247,Problems to be solved look like this.,809.27,1.69
248,"You've got some input,
the problem to be solved.",810.96,2.0
249,"You've got a goal being the output,
like the solution there, too.",812.96,2.79
250,"And then somewhere in the
middle is the secret sauce,",815.75,2.25
251,"where we'll spend the next
several weeks figuring out how",818.0,2.375
252,we can convert these inputs to outputs.,820.375,1.975
253,"But before we can do
that, we all just have",822.35,2.52
254,"to agree on how to represent
these inputs and outputs,",824.87,3.39
255,"whether it's with English or,
really, any type of language.",828.26,3.0
256,"But, as I spoiled earlier, you
probably came in here already",831.26,3.03
257,"with a general sense that,
yeah, computers somehow",834.29,2.61
258,"only speak or know 0's and 1's,
the so-called binary system.",836.9,3.923
259,"But that's just one way of
representing information.",840.823,2.167
260,Even simpler than binary is unary.,842.99,2.16
261,"So if you've ever, at this age or any
prior age, counted on your fingers,",845.15,5.52
262,"this is unary notation, whereby
each of your digits, your fingers",850.67,3.81
263,"literally represent some
piece of information;",854.48,2.52
264,"taking attendance, like 1, 2, 3, 4, 5.",857.0,2.76
265,"But on your one human hand, how high
can you count in this unary notation?",859.76,6.04
266,AUDIENCE: Five.,865.8,0.705
267,AUDIENCE: Five.,866.505,0.625
268,"DAVID J. MALAN: Five, I'm hearing five.",867.13,2.42
269,"Six, I heard one six.",869.55,2.34
270,"But I'm going to go further and say
the answer, if you're clever about it,",871.89,3.72
271,is actually--,875.61,0.89
272,AUDIENCE: 40?,876.5,0.632
273,DAVID J. MALAN: Not quite 40.,877.132,1.208
274,"You overbid, but--",878.34,1.32
275,AUDIENCE: 31.,879.66,0.84
276,"DAVID J. MALAN: 31 is as
high as I can actually count.",880.5,3.385
277,"And that's because if I
actually-- and if you're thinking",883.885,2.375
278,"this is weirdly painful
now, it will be, but this",886.26,3.27
279,is my hand representing the number 0.,889.53,2.07
280,"Normally, in unary, this is 1,
2, 3, 4, 5, of course, obviously.",891.6,4.38
281,"But what if I take into
account the order in which I'm",895.98,2.31
282,putting my fingers up and down?,898.29,1.3
283,So maybe this is still 0.,899.59,1.25
284,Maybe this is still 1.,900.84,1.65
285,"But maybe this is now 2, where it's
just the single second finger up,",902.49,4.92
286,"not two of them, total.",907.41,1.53
287,Maybe this is now 3.,908.94,1.92
288,"Maybe this is now-- often offensive,
with just the middle finger up.",910.86,3.87
289,This is now [LAUGHS] 5.,914.73,2.52
290,This is now 6.,917.25,2.01
291,This is now 7.,919.26,1.9
292,"And my hand just hurts too much if
I try to count higher than seven.",921.16,2.85
293,"But, theoretically, because each
of my fingers can be down or up",924.01,3.63
294,"and I've got five of them, that's
actually 32 possible permutations,",927.64,4.59
295,up and down.,932.23,0.66
296,But wait a minute.,932.89,0.75
297,"We said, 31, but if you start at 0.",933.64,2.49
298,"You have to subtract 1 from
the biggest possible value.",936.13,2.605
299,"So this is to say you and I have been
using unary because it's just simple,",938.735,3.125
300,and it gets the job done.,941.86,1.24
301,"But if we just think about
representation a little more cleverly,",943.1,3.65
302,"we can do exactly what computers do,
using not what mathematicians call",946.75,3.66
303,"""base-1,"" where the finger is either
there or it's not, but base-2.",950.41,4.05
304,"And in base-2, we just need
two digits at our disposal.",954.46,3.93
305,"And we could call these digits 1
and 2, A and B, black or white.",958.39,4.33
306,"We just need two words to describe
two pieces of information.",962.72,3.65
307,Computers keep it simple.,966.37,1.23
308,"And just like we humans start
counting 0, 1, 2, 3 on up,",967.6,3.36
309,"computers use 0 and 1, and that's it.",970.96,3.27
310,But that's by convention.,974.23,1.48
311,But why do they do that?,975.71,1.23
312,"Well, it turns out, when you use
base-2, otherwise known as binary, well,",976.94,4.99
313,"it just maps really
readily to the real world.",981.93,2.1
314,"Because, at the end of
the day, what do we all",984.03,1.917
315,"do, if you've got a laptop,
or a phone, or any device?",985.947,2.793
316,"You plug it into the wall because
it needs electricity at some point.",988.74,3.57
317,And what if you have electricity or not?,992.31,3.51
318,"Well, there's your two possible values.",995.82,2.37
319,"Either it's there, or it's not.",998.19,1.72
320,"And because computers
are electrical devices,",999.91,2.09
321,this is why binary is just useful.,1002.0,1.675
322,It's nice and simple.,1003.675,0.875
323,"Either electricity is
there, or it's not.",1004.55,2.37
324,"So when you plug this
device in and you've",1006.92,1.89
325,"got all these electrons
or whatever flowing, maybe",1008.81,2.25
326,"if we just hang on to
some of that electricity,",1011.06,2.19
327,we can represent what we'll call a 1.,1013.25,1.98
328,"And maybe if we let it dissipate
or go away, that's a 0.",1015.23,3.24
329,"So on and off maps very readily
to this idea of just 0's and 1's.",1018.47,4.29
330,"And if you've ever thought of
this, now, as binary digits--",1022.76,3.99
331,"""bi"" implying 2, 0 and 1-- well,
if you've ever heard this term now,",1026.75,3.63
332,"""bit,"" it just means binary digit.",1030.38,2.31
333,A single bit is just a 0 or 1.,1032.69,1.998
334,"But we could have called
these things anything we want.",1034.688,2.292
335,"Now how does this map to
be clear to the real world?",1036.98,3.089
336,"Well, we can't see the tiny little
switches inside of our Macs,",1040.069,3.401
337,"PCs, and our phones that are
actually turning the electricity on",1043.47,2.67
338,"or off, storing electricity or not.",1046.14,2.34
339,But they're called transistors.,1048.48,1.44
340,"They've got millions of
them in today's hardware.",1049.92,2.55
341,"And they're just on or off,
like a switch or a light bulb.",1052.47,2.847
342,"So, for instance, if
there's no electricity,",1055.317,1.833
343,"the switch is off, we would
call this, by convention, a 0.",1057.15,3.54
344,"If, though, you throw the switch and it
actually turns on, we would call this--",1060.69,4.47
345,AUDIENCE: On.,1065.16,0.78
346,"DAVID J. MALAN: --an ""on,"" exactly, a 1.",1065.94,1.667
347,We could have reversed it.,1067.607,1.083
348,"But this is just the way the
world decided to standardize.",1068.69,2.47
349,And that's it.,1071.16,0.75
350,"So you've either got something
on or off, a 1 or a 0.",1071.91,3.87
351,"And this, then, is this thing we
know now as a binary digit or a bit.",1075.78,4.24
352,"So once we've got these
values, what about how--",1080.02,4.47
353,"how can we go about,
perhaps, representing things?",1084.49,2.6
354,"Well, you know what?",1087.09,0.97
355,"It turns out we've got a lot
of light bulbs right here.",1088.06,2.292
356,Let me grab-- thanks.,1090.352,0.908
357,"Excuse me, spot.",1091.26,0.75
358,Let me grab the little music stand here.,1092.01,4.53
359,"Let me borrow a couple
of these bulbs and see",1096.54,2.07
360,"if we can't make clearer than my
hand, alone, what's going on here.",1098.61,3.7
361,"So I'm going to go ahead
and grab two of these.",1102.31,2.66
362,And I'll just put them here.,1104.97,1.7
363,"And I can turn these
things on or off now.",1106.67,1.75
364,"So if I've got two bits, two switches,
two transistors, if you will, well,",1108.42,4.14
365,"if I go ahead and turn on this one,
I'm representing what number in binary,",1112.56,6.1
366,perhaps?,1118.66,0.5
367,AUDIENCE: 1.,1119.16,0.72
368,DAVID J. MALAN: So just 1.,1119.88,1.32
369,"Now, if I'm using unary, I would
turn this one on and be done with it.",1121.2,3.93
370,"And that's 2, but not in binary.",1125.13,1.85
371,"Binary, it's the permutations, which
ones are on and off, that matters.",1126.98,4.37
372,"So what, now, am I
representing here, perhaps?",1131.35,2.44
373,AUDIENCE: 2.,1133.79,0.58
374,DAVID J. MALAN: 2.,1134.37,0.75
375,"So this is when I put my
single pointer finger up.",1135.12,3.09
376,"But then when I did
this, in my human hand,",1138.21,2.22
377,this was like representing the number 3.,1140.43,2.88
378,How do I represent the number 4.,1143.31,3.33
379,"Yeah, I need another light bulb, so
I need more hardware, so to speak.",1146.64,4.36
380,So if I turn--,1151.0,2.0
381,"if I leave this one-- if I turn this
one on, this one off, this one off,",1153.0,6.18
382,now I have the number 4.,1159.18,2.2
383,"And someone tell me,
saying the words ""on""",1161.38,3.213
384,"and ""on"" and ""on,"" or
""on,"" or ""off,"" or ""on,""",1164.593,1.917
385,"using combinations of
""on,"" ""off"" and-- ""on""",1166.51,2.34
386,"and ""off,"" how do I represent
5, from your left to your right?",1168.85,3.982
387,How about over here?,1172.832,0.833
388,"AUDIENCE: On, off, on.",1173.665,1.215
389,"DAVID J. MALAN: ""On, off, on,"" I heard.",1174.88,1.74
390,And that's exactly right.,1176.62,1.86
391,"And how do I represent, maybe, 6?",1178.48,2.605
392,Over here?,1181.085,0.5
393,"AUDIENCE: Off, on, on.",1181.585,1.425
394,"DAVID J. MALAN: Off, on, on, not quite.",1183.01,2.07
395,From left to right?,1185.08,0.915
396,AUDIENCE: Off-- the other way.,1185.995,1.395
397,DAVID J. MALAN: The--,1187.39,0.23
398,"[LAUGHS] OK, so from right to left.",1187.62,1.67
399,So I think we leave this one on.,1189.29,1.67
400,"This one, I'm going to claim,
represents, now, 6 and 7.",1190.96,7.8
401,"AUDIENCE: On, off.",1198.76,0.81
402,"DAVID J. MALAN: I'm just going to--
it's actually going to be ""on, on, on.""",1199.57,2.73
403,"Now, if you're wondering, where
are these people coming up",1202.3,2.437
404,"with these combinations,
there's actually a system here.",1204.737,2.333
405,"It's actually hard for
me to do it backwards.",1207.07,2.7
406,"But it turns out there's actually a
system that's not all that unfamiliar.",1209.77,4.432
407,"In fact, let me propose this.",1214.202,1.208
408,"Let me propose that we
consider what you and I all",1215.41,3.36
409,"learned in grade school, which was
something like the base-10 system, 10",1218.77,4.33
410,"meaning that you use 10
different digits, not two, 10.",1223.1,2.67
411,"So 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, that's
the base-10 system, otherwise known",1225.77,4.53
412,"as decimal, ""dec"" implying 10.",1230.3,2.07
413,So that's what you and I use every day.,1232.37,1.77
414,"Well, let's think about how we
represent numbers in decimal,",1234.14,3.0
415,in the normal human way.,1237.14,1.29
416,"Well, here is a number.",1238.43,1.09
417,"It's what number, of course?",1239.52,1.86
418,AUDIENCE: 123.,1241.38,0.8
419,DAVID J. MALAN: 123.,1242.18,1.362
420,"So we all just have an
intuition for that, obviously.",1243.542,2.208
421,But it's not necessarily 123.,1245.75,2.67
422,"You're just assigning meaning to
the positions of these digits.",1248.42,3.22
423,This is really the pattern 1-2-3.,1251.64,2.39
424,"But you immediately jump,
mathematically, to 123, but why?",1254.03,3.36
425,"Well, odds are, in grade school, you
learned that the rightmost digit is",1257.39,3.0
426,the ones place or the ones column.,1260.39,1.77
427,"This is the tens place
or the tens column.",1262.16,2.64
428,This is the hundreds place.,1264.8,1.69
429,And so why is this relevant?,1266.49,1.74
430,"Well, this is like doing
100 times 1 plus 10 times",1268.23,2.96
431,"2 plus 1 times 3 or, if we multiply
that out, 100 plus 20 plus 3,",1271.19,5.22
432,"ergo, the number, now, that we
just take for granted is 123.",1276.41,4.83
433,"But that's in base-10, the
so-called decimal system,",1281.24,3.0
434,"whereby each of these digits
is in a different column.",1284.24,3.69
435,"And those columns are, again,
ones place, tens, hundreds.",1287.93,3.15
436,"If we keep going, thousand,
ten thousand, and so forth.",1291.08,2.71
437,But where did these come from?,1293.79,1.25
438,"Well, here's the base.",1295.04,0.917
439,"If you remember exponents
and all of that,",1295.957,1.813
440,"this is just 10 to the 0, 10 to
the 1, 10 to the 2, ad infinitum.",1297.77,4.14
441,"And so, now, what if we just changed
the base from 10, 0 through 9,",1301.91,4.95
442,"to just two digits, 0 and 1?",1306.86,1.62
443,"Well, now the math is
fundamentally the same.",1308.48,2.13
444,"But it's 2 to the 0, 2
to the 1, 2 to the 2,",1310.61,2.27
445,"which gives us the ones place,
twos place, and fours place.",1312.88,4.15
446,"Now, why is this relevant?",1317.03,1.38
447,"If you've got three light bulbs or
three bits that are off, off, off,",1318.41,4.38
448,what have I done?,1322.79,1.14
449,"4 times 0 plus 2 times 0 plus 1
times 0 is, obviously, the number",1323.93,3.78
450,"you and I know, in decimal, as 0.",1327.71,2.28
451,"This, though, represents the
number you and I know as--",1329.99,2.64
452,AUDIENCE: 1,1332.63,0.6
453,DAVID J. MALAN: This represents--,1333.23,1.375
454,AUDIENCE: 2.,1334.605,0.59
455,"DAVID J. MALAN: --3, 4.",1335.195,2.715
456,"And just to be clear, this is why, when
I grabbed the additional light bulb,",1337.91,3.63
457,we claimed that this now was 4.,1341.54,3.63
458,"Because we had ""on, off,
off,"" ""on, off, off.""",1345.17,4.26
459,This now is 5.,1349.43,1.53
460,This now is 6.,1350.96,1.23
461,This now is 7.,1352.19,1.05
462,"And if I wanted to count higher, what
would the pattern of 0's and 1's be",1353.24,3.24
463,for the number 8?,1356.48,0.998
464,"AUDIENCE: 1, 0--",1357.478,1.464
465,"DAVID J. MALAN: 1, 0, 0, 0.",1358.942,1.468
466,"So we just need more
hardware, more bits.",1360.41,1.92
467,"So it wasn't arbitrary,
even if it was non-obvious,",1362.33,3.3
468,"what I was actually doing with
turning these light bulbs on and off.",1365.63,4.03
469,"Now, it turns out here we are talking
about how to represent information,",1369.66,4.07
470,"like numbers, but we could also
use bits, 0's and 1's, light bulbs",1373.73,5.76
471,"to represent instructions, as well.",1379.49,2.1
472,"Because, at the end of the
day, that's all computers do.",1381.59,2.46
473,"They process data, information
of some sort, whether it's files,",1384.05,3.9
474,"or numbers, or images,
or videos, or the like.",1387.95,2.34
475,And you do things with those files.,1390.29,3.0
476,You open them.,1393.29,0.695
477,You print them.,1393.985,0.625
478,You edit them and the like.,1394.61,1.0
479,"So there's this notion of instructions,
what the computer can actually do.",1395.61,3.11
480,"And I bet we could come up with
some pattern of 0's and 1's",1398.72,3.75
481,"or, equivalently, light bulbs
that tell even Spot what to do.",1402.47,4.5
482,"Maybe, go up, or down,
or left, or right.",1406.97,3.815
483,"And it could certainly do this
autonomously by using various sensors.",1410.785,2.875
484,We need to keep things safe today.,1413.66,1.417
485,"We're using Wi-Fi in sending
Spot these very instructions.",1415.077,3.171
486,"But what's happening, wirelessly,
with our friend Andrew, here, is,",1418.248,2.792
487,"essentially, he's sending Spot
instructions just encoded, wirelessly,",1421.04,4.29
488,"somehow, as patterns of 0's and 1's.",1425.33,2.28
489,"And the folks at Boston Dynamics,
who built this robot, programmed",1427.61,3.78
490,"Spot to recognize certain
patterns as meaning ""up,""",1431.39,2.94
491,"a certain pattern as meaning
""down,"" ""left,"" ""right,""",1434.33,2.7
492,and any number of other things.,1437.03,1.475
493,"So, in fact, Spot, come on
over here, if you could.",1438.505,2.125
494,"Come on, Spot.",1440.63,1.2
495,[FOOTSTEPS],1441.83,1.68
496,OK.,1443.51,2.13
497,"So Spot, for instance, may
very well have a pattern",1445.64,2.76
498,of 0's and 1's that represents shake.,1448.4,2.79
